date,value
1983-06-01 00:00:00,4.14504
1983-07-01 00:00:00,4.11617
1983-08-01 00:00:00,4.23872
1983-09-01 00:00:00,4.31543
1983-10-01 00:00:00,3.90881
1983-11-01 00:00:00,3.74364
1983-12-01 00:00:00,3.64388
1984-01-01 00:00:00,3.61173
1984-02-01 00:00:00,4.13187
1984-03-01 00:00:00,4.33942
1984-04-01 00:00:00,4.26135
1984-05-01 00:00:00,4.0984
1984-06-01 00:00:00,3.8963
1984-07-01 00:00:00,3.68219
1984-08-01 00:00:00,3.55806
1984-09-01 00:00:00,3.33581
1984-10-01 00:00:00,3.40421
1984-11-01 00:00:00,3.40362
1984-12-01 00:00:00,3.63824
1985-01-01 00:00:00,3.70448
1985-02-01 00:00:00,3.48968
1985-03-01 00:00:00,3.5553
1985-04-01 00:00:00,3.31163
1985-05-01 00:00:00,3.42549
1985-06-01 00:00:00,3.52277
1985-07-01 00:00:00,3.40722
1985-08-01 00:00:00,3.4317
1985-09-01 00:00:00,3.46603
1985-10-01 00:00:00,3.39444
1985-11-01 00:00:00,3.54903
1985-12-01 00:00:00,3.60425
1986-01-01 00:00:00,3.56404
1986-02-01 00:00:00,3.08546
1986-03-01 00:00:00,2.45834
1986-04-01 00:00:00,2.10152
1986-05-01 00:00:00,2.0465
1986-06-01 00:00:00,2.14878
1986-07-01 00:00:00,1.92438
1986-08-01 00:00:00,1.71551
1986-09-01 00:00:00,1.87714
1986-10-01 00:00:00,1.88985
1986-11-01 00:00:00,1.77585
1986-12-01 00:00:00,1.57522
1987-01-01 00:00:00,1.58562
1987-02-01 00:00:00,1.9419
1987-03-01 00:00:00,2.43663
1987-04-01 00:00:00,3.02941
1987-05-01 00:00:00,3.10237
1987-06-01 00:00:00,3.10844
1987-07-01 00:00:00,3.32069
1987-08-01 00:00:00,3.59959
1987-09-01 00:00:00,3.60923
1987-10-01 00:00:00,3.75233
1987-11-01 00:00:00,3.76309
1987-12-01 00:00:00,3.81212
1988-01-01 00:00:00,3.72683
1988-02-01 00:00:00,3.51794
1988-03-01 00:00:00,3.59865
1988-04-01 00:00:00,3.71501
1988-05-01 00:00:00,3.75319
1988-06-01 00:00:00,3.8016
1988-07-01 00:00:00,4.06523
1988-08-01 00:00:00,3.96254
1988-09-01 00:00:00,4.11823
1988-10-01 00:00:00,4.12767
1988-11-01 00:00:00,4.17219
1988-12-01 00:00:00,4.30436
1989-01-01 00:00:00,4.4345
1989-02-01 00:00:00,4.6264
1989-03-01 00:00:00,4.65679
1989-04-01 00:00:00,4.84399
1989-05-01 00:00:00,4.92167
1989-06-01 00:00:00,4.70537
1989-07-01 00:00:00,4.44812
1989-08-01 00:00:00,4.15224
1989-09-01 00:00:00,3.87779
1989-10-01 00:00:00,3.94427
1989-11-01 00:00:00,3.92976
1989-12-01 00:00:00,3.90681
1990-01-01 00:00:00,4.15903
1990-02-01 00:00:00,4.27113
1990-03-01 00:00:00,4.27648
1990-04-01 00:00:00,3.80424
1990-05-01 00:00:00,3.65928
1990-06-01 00:00:00,3.8903
1990-07-01 00:00:00,3.89843
1990-08-01 00:00:00,4.57662
1990-09-01 00:00:00,4.98489
1990-10-01 00:00:00,5.17477
1990-11-01 00:00:00,5.07895
1990-12-01 00:00:00,4.87326
1991-01-01 00:00:00,4.48141
1991-02-01 00:00:00,4.07577
1991-03-01 00:00:00,3.7064
1991-04-01 00:00:00,3.67666
1991-05-01 00:00:00,3.87249
1991-06-01 00:00:00,3.59014
1991-07-01 00:00:00,3.49755
1991-08-01 00:00:00,3.05345
